100MostRememberedC64Tunes.Slave;100MostRememberedC64Tunes;Demo / Music Disk;100 Most Remembered Games On The 64 (PerHaakan Sundell RonBirk);100 Most Remembered C64;100MostRememberedC64Tunes.info;100MostRememberedGamesOnThe64_v1.01_PerHaakanSundell&RonBirk.lha
1000Miglia.Slave;1000Miglia;Racing / Car / Chase View;1000 Miglia - 1927-1933 Volume 1;1000 Miglia;1000Miglia.info;1000Miglia_v1.2.lha
1000ccTurbo.Slave;1000ccTurbo;Racing / Bike / Chase View;1000cc Turbo;1000cc Turbo;1000ccTurbo.info;1000ccTurbo_v1.0.lha
1001StolenIdeas.slave;1001StolenIdeas;Demo;1001 Stolen Ideas (Airwalk);1001 Stolen Ideas;1001StolenIdeas.info;1001StolenIdeas_v1.01_Airwalk.lha
1869AGADe.Slave;1869AGADe;Strategy / Trading;1869 - Erlebte Geschichte (Teil 1) (AGA) (German);1869 - Teil 1 AADe;1869AGADe.info;1869_v1.0_De_AGA_1653.lha
1869De.Slave;1869De;Strategy / Trading;1869 - Erlebte Geschichte (Teil 1) (German);1869 - Teil 1 De;1869De.info;1869_v1.2_De_0417.lha
1869.Slave;1869;Strategy / Trading;1869 - History Experience (Part 1);1869 - Part 1;1869.info;1869_v1.2.lha
1869AGA.Slave;1869AGA;Strategy / Trading;1869 - History Experience (Part 1) (AGA);1869 - Part 1 AA;1869AGA.info;1869_v1.0_AGA.lha
1869Pl.Slave;1869Pl;Strategy / Trading;1869 - History Experience (Part 1) (Polish);1869 - Part 1 Pl;1869Pl.info;1869_v1.2_Pl.lha
1943.Slave;1943;Action / Shooter / Vertical;1943 - The Battle Of Midway;1943-The Battle Of Midway;1943.info;1943_v1.4.lha
1stDivisionManager.Slave;1stDivisionManager;Management / Sport;1st Division Manager;1st Division Manager;1stDivisionManager.info;1stDivisionManager_v1.0_1800.lha
2Unlimited.slave;2Unlimited;Demo / Music Disk;2 Unlimited (Scoopex);2 Unlimited;2Unlimited.info;2Unlimited_v1.1a_Scoopex.lha
2UnlimitedNoLimit.Slave;2UnlimitedNoLimit;Demo;2 Unlimited - No Limit (Project A);2 Unlimited No Limit;2UnlimitedNoLimit.info;2UnlimitedNoLimit_v1.0_ProjectA.lha
20000LeaguesUnderTheSea.Slave;20000LeaguesUnderTheSea;Adventure / Graphic;20000 Leagues Under The Sea;2k Leagues Under The Sea;20000LeaguesUnderTheSea.info;20000LeaguesUnderTheSea_v1.1.lha
20000LeaguesUnderTheSeaEs.Slave;20000LeaguesUnderTheSeaEs;Adventure / Graphic;20000 Leguas De Viaje Submarino (Spanish);20k Leguas Submarino Es;20000LeaguesUnderTheSeaEs.info;20000LeaguesUnderTheSea_v1.1_Es.lha
20000LieuesSousLesMersNl.Slave;20000LieuesSousLesMersNl;Adventure / Graphic;20000 Lieues Sous Les Mers (Dutch);20k Lieues Sous Mers Nl;20000LieuesSousLesMersNl.info;20000LieuesSousLesMers_v1.1_Nl.lha
20000LieuesSousLesMersFr.Slave;20000LieuesSousLesMersFr;Adventure / Graphic;20000 Lieues Sous Les Mers (French);20k Lieues Sous Mers Fr;20000LieuesSousLesMersFr.info;20000LieuesSousLesMers_v1.1_Fr.lha
20000MeilenUnterDemMeerDe.Slave;20000MeilenUnterDemMeerDe;Adventure / Graphic;20000 Meilen Unter Dem Meer (German);20k Meilen Unter Meer De;20000MeilenUnterDemMeerDe.info;20000MeilenUnterDemMeer_v1.1_De.lha
24HourEFix.Slave;24HourEFix;Demo / Music Disk;24 Hour E Fix (Quartz);24 Hour E Fix;24HourEFix.info;24HourEFix_v1.0_Quartz.lha
242.slave;242;Demo;242 (Fairlight Virtual Dreams);242;242.info;242_v1.2_Fairlight&VirtualDreams.lha
